,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
30,29,AP01MH0030,Vottigedda Reservoir,Andhra Pradesh Water Resources Department,"18° 50 ' 55""","83° 36 ' 15""",1976,East Flowing Rivers between Mahanadi and Godavari,nagavalli,Parvathipuram,II,Earthfill_Embankment ,27.5,2152,301000,27130000,4402980,25150000,I/H,1509
31,30,AP01MH0031,Bahuda Reservoir Project,Andhra Pradesh Water Resources Department,"13° 33 ' 46""","78° 37 ' 41""",1974,Pennar,Bahuda,Valasavalli,II,Earthfill_Embankment ,20,792,,11270000,200000,10700000,I,849
32,31,AP01LH0032,Vyasasamudram tank,Andhra Pradesh Water Resources Department,"13° 43 ' 30""","78° 8 ' 21""",1974,Pennar,Local Stream,Madanapalle,II,Earthfill_Embankment ,11.29,840,,6580000,5400000,6580000,I,169
33,32,AP01LH0033,Gujjuvai Reservoir,Andhra Pradesh Water Resources Department,"18° 56 ' 20""","83° 44 ' 0""",1974,East Flowing Rivers between Mahanadi and Godavari,Peddagedda,Vizayanagaram,II,Earthfill_Embankment ,15,800,0,730000,,683000,I,90.9
34,33,AP01LH0034,Bukkapatnam Tank,Andhra Pradesh Water Resources Department,"14° 11 ' 7""","77° 46 ' 28""",1975,Pennar,chitravathi,Penukonda,II,Earthfill_Embankment ,14,6017,,19914000,10889000,15319270,I,567
35,34,AP01MH0035,C.K.Reservoir,Andhra Pradesh Water Resources Department,"15° 39 ' 41""","79° 59 ' 12""",1975,East flowing rivers between Krishna and Pennar,Gundlakama,Y .Palem,II,Earthfill_Embankment ,17,178,0,4813000,,4813000,I,
36,35,AP01MH0036,Muraripalli Tank,Andhra Pradesh Water Resources Department,"16° 3 ' 17""","79° 20 ' 8""",1975,Krishna,Krishna,Marakapur,II,Earthfill_Embankment ,18.68,732,0,6597000,,6597000,I,
37,36,AP01LH0037,"Pedda cheruvu tank, Nagasamudram",Andhra Pradesh Water Resources Department,"14° 18 ' 28""","77° 39 ' 7""",1975,Pennar,Local Stream,Dharmavaram,II,Earthfill_Embankment ,14,1295.68,,5290000,2810000,4065970,I,2899
38,37,AP01LH0038,Rangasamudram Tank,Andhra Pradesh Water Resources Department,"13° 42 ' 12""","78° 16 ' 25""",1975,Krishna,Local Nala,Visakhapatnam,II,Earthfill_Embankment ,14,1590,,3689000,2702000,3689000,I,232.74
39,38,AP01MH0039,Varaha,Andhra Pradesh Water Resources Department,"17° 48 ' 41""","82° 40 ' 30""",1975,Godavari,Varaha,Chodavaram,II,Earthfill_Embankment ,25,1652,1019000,13167000,2330000,12205000,I,523
40,39,AP01HH0040,Kalyani dam,Andhra Pradesh Water Resources Department,"13° 39 ' 29""","79° 16 ' 7""",1977,East flowing rivers between Pennar and Cauvery Basin,Kalyani,Chandragiri,III,Other,36,500,,25770000,22550000,24830000,I/S,1614
41,40,AP01LH0041,Kaleti Vagu Reservoir,Andhra Pradesh Water Resources Department,"14° 44 ' 6""","78° 27 ' 26""",1977,Pennar,Local Stream,Vempalli,II,Earthfill_Embankment ,11.2,1850,,6400000,1900000,6400000,I,683
42,41,AP01MH0042,Mehadrigedda,Andhra Pradesh Water Resources Department,"17° 45 ' 54""","83° 11 ' 27""",1977,East Flowing Rivers between Mahanadi and Godavari,Mehadrigedda,Visakhapatnam,II,Earthfill_Embankment ,13.716,1609,0,33102000,10813000,29530000,I/S,1502
43,42,AP01HH0043,Thandava,Andhra Pradesh Water Resources Department,"17° 37 ' 20""","82° 27 ' 38""",1975,Godavari,Thandava,Narsipatnam,II,Earthfill_Embankment ,32.7,201,199000,140450000,18650000,124690000,I,1218
44,43,AP01MH0044,Peddabommalapuram Reservoir,Andhra Pradesh Water Resources Department,"15° 57 ' 30""","79° 8 ' 10""",1978,Krishna,Local Nala,Dornal,II,Earthfill_Embankment ,17.3,640,,3763000,,3763000,I,
45,44,AP01LH0045,Pittakayagulla,Andhra Pradesh Water Resources Department,"15° 28 ' 41""","79° 7 ' 27""",1978,East flowing rivers between Krishna and Pennar,Vemuluri Stream,Giddalur,II,Earthfill_Embankment ,12.5,,,3306000,,3003000,I,429
46,45,AP01MH0046,Pampa Reservoir,Andhra Pradesh Water Resources Department,"17° 17 ' 16""","82° 24 ' 26""",1964,East Flowing Rivers between Mahanadi and Godavari,Pampa,Prathipadu,II,Earthfill_Embankment ,15,1128,,15983000,4721000,15787000,I,1400
47,46,AP01MH0047,Gajuladinne Project,Andhra Pradesh Water Resources Department,"15° 41 ' 35""","77° 37 ' 8""",1979,Krishna,Handri,Pattikonda,II,Earthfill_Embankment ,19,4400,,148660000,31988000,121196000,I,2267
48,47,AP01LH0048,Sadasivakona,Andhra Pradesh Water Resources Department,"13° 35 ' 35""","79° 37 ' 3""",1979,East flowing rivers between Pennar and Cauvery Basin,Sadasivakona,Srikalahasti,III,Earthfill_Embankment ,14.03,619,137000,4247500,,,I,180
49,48,AP01HH0049,Pedderu,Andhra Pradesh Water Resources Department,"13° 53 ' 1""","78° 22 ' 13""",1980,Pennar,Pedderu,Madanapalle,II,Other,35,590,122000,15857000,1999000,14974000,I,3172
50,49,AP01LH0050,Saddikutimadugu Reservoir,Andhra Pradesh Water Resources Department,"13° 26 ' 25""","79° 50 ' 39""",1980,East flowing rivers between Pennar and Cauvery Basin,Manneru,Thirupathi,II,Earthfill_Embankment ,10.94,800,,1634000,809720,1634000,I,
51,50,AP01LH0051,Jalakanur Tank,Andhra Pradesh Water Resources Department,"15° 43 ' 18""","78° 18 ' 15""",1981,Pennar,Bodivagu,Nandikotkur,II,Earthfill_Embankment ,10.51,7200,,4684286,90650000,3279000,I,362
52,51,AP01MH0052,Krishnapuram Tank,Andhra Pradesh Water Resources Department,"13° 22 ' 10""","79° 21 ' 10""",1981,East flowing rivers between Pennar and Cauvery Basin,Kaulasthali,Puttur,III,Earthfill_Embankment ,21,488,380000,5650000,900000,4244000,I,1077
53,52,AP01MH0053,Raiwada Reservoir,Andhra Pradesh Water Resources Department,"18° 0 ' 24""","82° 57 ' 55""",1982,East Flowing Rivers between Mahanadi and Godavari,Sarada,Chodavaram,II,Other,28,5750,2360000,101940000,,92740000,I,1897
54,53,AP01LH0054,Itugulapadu Tank,Andhra Pradesh Water Resources Department,"14° 43 ' 53""","78° 46 ' 53""",1982,Pennar,Maderu,Badvel,II,Earthfill_Embankment ,10.5,520,0,1979000,864000,1960000,I,668.27
55,54,AP01LH0055,Thadukuvagu Reservoir,Andhra Pradesh Water Resources Department,"15° 10 ' 58""","78° 52 ' 58""",1982,Pennar,Local Stream,Badvel,II,Earthfill_Embankment ,12.2,900,,1700000,1510000,1700000,I,680
56,55,AP01MH0056,Konam Reservoir,Andhra Pradesh Water Resources Department,"17° 57 ' 59""","82° 51 ' 14""",1980,East Flowing Rivers between Mahanadi and Godavari,Bodderu,Chodavaram,II,Earthfill_Embankment ,23,339,267000,24070000,3267000,22870000,I,1260
57,56,AP01HH0057,Donkarai (S.H.E.S),Andhra Pradesh Water Resources Department,"17° 56 ' 3""","81° 47 ' 46""",1983,Godavari,Sileru,Donkarayi,II,Other,71,1398,2038000,470000000,28060000,380000000,I/H,15593
58,57,AP01MH0058,Mylavaram Reservoir,Andhra Pradesh Water Resources Department,"14° 50 ' 58""","78° 20 ' 23""",1983,Pennar,Pennar,Jammalamadugu,II,Other,24,2850,1524000,283000000,106190000,254000000,I,8190
59,58,AP01VH0059,Srisailam Project (N.S.R.S.P),Andhra Pradesh Water Resources Department,"16° 5 ' 10""","78° 53 ' 48""",1982,Krishna,Krishna,Nandikotkur,II,Other,145,512,1953000,6116438863,616420000,5833270397.9,H,38369
60,59,AP01HH0060,Papavinasanam dam,Andhra Pradesh Water Resources Department,"13° 43 ' 10""","79° 20 ' 37""",1985,East flowing rivers between Pennar and Cauvery Basin,Papavinasanam,Tirupati,II,Other,50,274000,195000,2124000,760000,,S,201
61,60,AP01LH0061,Savisettipalli Tank,Andhra Pradesh Water Resources Department,"14° 59 ' 0""","78° 51 ' 55""",1985,Pennar,Local Stream,Badvel,II,Earthfill_Embankment ,12,200,,2360000,760000,2360000,I,130
62,61,AP01HH0062,Somasila Reservoir,Andhra Pradesh Water Resources Department,"14° 29 ' 19""","79° 18 ' 13""",1986,Pennar,Pennar,Atmakur,II,Other,39,352,1875000,2208370000,212280000,1994100000,I/H,19680
63,62,AP01MH0063,Gandipalem Project,Andhra Pradesh Water Resources Department,"14° 59 ' 25""","79° 17 ' 51""",1981,Pennar,Pillaperu,Udayagiri,II,Other,21,388,815000,53240000,9460000,49410000,I,2195
64,63,AP01HH0064,Jalleru Reservoir,Andhra Pradesh Water Resources Department,"17° 17 ' 24""","81° 20 ' 45""",1992,Godavari,Jalleru,Polavaram,III,Other,31.42,1790,1069000,15317000,1641000,11339000,I,348
65,64,AP01MH0065,Thammileru,Andhra Pradesh Water Resources Department,"17° 0 ' 45""","80° 57 ' 35""",1980,East flowing rivers between Godavari and Krishna,Thammileru,Thiruvuru,III,Other,23.25,6400,2549000,84939000,13755000,76444000,I,736
66,65,AP01MH0066,Varikunta Tank,Andhra Pradesh Water Resources Department,"15° 2 ' 46""","78° 51 ' 31""",1997,Pennar,Local Stream,Badvel,II,Earthfill_Embankment ,15.1,1156,,1900000,1060000,1900000,I,810
67,66,AP01LH0067,Pendlur Tank,Andhra Pradesh Water Resources Department,"14° 25 ' 30""","78° 21 ' 30""",1998,Pennar,Local Stream,Pulivendula,II,Earthfill_Embankment ,10.6,1045,,1590000,840000,1590000,I,293
68,67,AP01LH0068,Vagetikona Reservoir,Andhra Pradesh Power Generation Corporation,"13° 52 ' 10""","79° 20 ' 2""",1998,Pennar,Local Stream,Kodur,II,Earthfill_Embankment ,11.3,1306,,2030000,640000,2030000,I,285.02
69,68,AP01MH0069,Vengalaraya Sagar,Andhra Pradesh Water Resources Department,"18° 37 ' 22""","83° 13 ' 18""",1998,East Flowing Rivers between Mahanadi and Godavari,Svarnamukhi Gomula,Salur,II,Earthfill_Embankment ,21,1765,2707000,40570000,7690000,39780000,I,2455
70,69,AP01LH0070,Pedaballi Reservoir,Andhra Pradesh Water Resources Department,"13° 58 ' 10""","78° 23 ' 5""",2000,Pennar,Local Stream,Kadiri,II,Other,12,149,,4932000,2097000,3794000,I,2
71,70,AP01LH0071,Sancherla Tank,Andhra Pradesh Water Resources Department,"15° 8 ' 53""","79° 1 ' 26""",2000,Pennar,Local Stream,Badvel,II,Earthfill_Embankment ,12,500,,1800000,465000,1800000,I,340
72,71,AP01MH0072,Andra Reservoir,Andhra Pradesh Water Resources Department,"18° 20 ' 59""","83° 11 ' 47""",1998,East Flowing Rivers between Mahanadi and Godavari,Champavathi,Gajapathinagaram,II,Earthfill_Embankment ,22,1890,,27750000,4406000,26400000,I,910
73,72,AP01MH0073,Buggavanka Project,Andhra Pradesh Water Resources Department,"14° 24 ' 1""","78° 50 ' 9""",2000,Pennar,Buggavanka,Cuddapah,II,Other,26,2060,747000,14320000,1566000,12040000,I,926
74,73,AP01MH0074,Yogi vemana (Maddileru) Reservoir,Andhra Pradesh Water Resources Department,"14° 21 ' 29""","78° 3 ' 8""",2001,Pennar,Maddileru Tributary to chitravati,Kadiri,II,Other,29.47,570,,25490000,4633000,21149000,I,3545
75,74,AP01MH0075,Madduvalasa Reservoir,Andhra Pradesh Water Resources Department,"18° 35 ' 17""","83° 37 ' 7""",2002,East Flowing Rivers between Mahanadi and Godavari,Maddigedda,palakonda,II,Earthfill_Embankment ,16,2320,867000,95510000,2673000,93580000,I,5595
76,75,AP01MH0076,Yerrakalva,Andhra Pradesh Water Resources Department,"17° 6 ' 1""","81° 15 ' 22""",1988,East flowing rivers between Godavari and Krishna,Yerrakalva,chintala pudi,III,Other,19.79,2700,1500000,693400000,26067000,586700000,I,1371
77,76,AP01LH0077,Dharakalava Reservoir,Andhra Pradesh Water Resources Department,"17° 20 ' 21""","82° 14 ' 12""",2004,East Flowing Rivers between Mahanadi and Godavari,Hill Stream,Kakinada,II,Earthfill_Embankment ,20.12,250,9000000,2463000,433000,2143000,I,227.67
78,77,AP01MH0078,Maddigedda Reservoir,Andhra Pradesh Water Resources Department,"17° 29 ' 12""","82° 0 ' 43""",2004,East Flowing Rivers between Mahanadi and Godavari,Janjhavathi,ellavaram,II,Other,27,862,526000,13733000,1821000,12289000,I,969
79,78,AP01HH0079,Kovvadda kalva,Andhra Pradesh Water Resources Department,"17° 11 ' 52""","81° 30 ' 27""",2004,Godavari,Kouvodakalva,Polavaram,II,Earthfill_Embankment ,22.04,1599,0,12360000,12346000,11581000,I,630.3
80,79,AP01MH0080,Earlakatta Tank,Andhra Pradesh Water Resources Department,"15° 45 ' 13""","78° 58 ' 42""",2007,East flowing rivers between Krishna and Pennar,krishna,Cumbum.,II,Earthfill_Embankment ,17,571,0,1369000,,1369000,I,
81,80,AP01HH0081,Veligallu,Andhra Pradesh Water Resources Department,"14° 1 ' 52""","78° 28 ' 35""",2008,Pennar,Papagni,Rayachoti,II,Other,45,810,0,13147000,10886000,104120,I,4361
82,81,AP01LH0082,Swarnamukhi Barrage,Andhra Pradesh Water Resources Department,"14° 0 ' 25""","80° 4 ' 11""",2008,Godavari,Swarnamukhi,Nellore,II,Other,10.6,389.5,0,991780,,,I,6450
83,82,AP01MH0083,N.T.R. T.G.P-Subsidiary Reservoir no 1,Andhra Pradesh Water Resources Department,"14° 49 ' 30""","78° 45 ' 0""",,Pennar,Kunderu,Cuddapah,II,Earthfill_Embankment ,28,1820,0,60416000,5180000,,I/S,
84,83,AP01LH0084,Akkapalem Tank,Andhra Pradesh Water Resources Department,"17° 8 ' 3""","80° 35 ' 14""",,Krishna,Ghataprabha,tiruvuru,III,Earthfill_Embankment ,11.1,433,0,1853000,,1853000,I,
85,84,AP01LH0085,Ananthasagarm Tank,Andhra Pradesh Water Resources Department,"14° 33 ' 36""","79° 22 ' 34""",,Pennar,Pennar,Atmakur,II,Earthfill_Embankment ,14,3500,0,2112000,,2112000,I,339
86,85,AP01LH0086,Chennapatnam Cheruvu,Andhra Pradesh Water Resources Department,"13° 27 ' 6""","78° 49 ' 18""",,Pennar,Pennar,Somala,II,Earthfill_Embankment ,10,950,0,1676340,1156900,1676000,I,
87,86,AP01LH0087,"Chikkavadiyar, Anantapur",Andhra Pradesh Water Resources Department,"14° 40 ' 15""","77° 40 ' 13""",,Pennar,ghatprabha,Bukkarayasamudram,II,Other,10.54,4476,0,15524240,2261730,11942000,I,501
88,87,AP01MH0089,Chinnagottigallu Tank,Andhra Pradesh Water Resources Department,"13° 38 ' 53""","79° 5 ' 33""",,Pennar,Swarnamuki R,Tirupati,II,Earthfill_Embankment ,18,900,,2305000,669300,1098000,I,168.51
89,88,AP01LH0090,Chinna Tippa Samudram Tank,Andhra Pradesh Water Resources Department,"13° 38 ' 0""","78° 36 ' 0""",,Pennar,Thettuvanka,Chittor,II,Earthfill_Embankment ,12.2,790,0,5947000,2251000,,I,354
90,89,AP01LH0091,Chintakuntavagu,Andhra Pradesh Water Resources Department,"14° 41 ' 47""","78° 19 ' 13""",,Pennar,Local Stream,Jammalamadugu,II,Earthfill_Embankment ,13,285,0,1982000,60000000,,I,66
91,90,AP01MH0092,"Gandicheruvu, Verabhadrapuram",Andhra Pradesh Water Resources Department,"16° 1 ' 45""","79° 10 ' 45""",,East flowing rivers between Krishna and Pennar,Ghataprabha,Marakapur,II,Other,26.69,240,0,3052700,,,,255
92,91,AP01LH0093,"Gowricheru, Mogili",Andhra Pradesh Water Resources Department,"13° 13 ' 48""","78° 49 ' 10""",,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,Chittoor,II,Earthfill_Embankment ,10,650,47990,872000,,730390,I,136
93,92,AP01MH0094,Gullur tank,Andhra Pradesh Water Resources Department,"13° 28 ' 48""","79° 31 ' 30""",,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,Makavarapalem,II,Earthfill_Embankment ,15,1040,,3456000,809720,3084000,I,
94,93,AP01MH0095,Gundlamotu Reservoir,Andhra Pradesh Water Resources Department,"15° 21 ' 19""","79° 49 ' 7""",,East flowing rivers between Krishna and Pennar,Ghataprabha,Giddalur,II,Earthfill_Embankment ,16,605,0,9040000,,,,652
95,94,AP01LH0096,Haresamudram Big tank,Andhra Pradesh Water Resources Department,"13° 54 ' 40""","77° 19 ' 50""",,Pennar,ghatprabha,Madakasira,II,Earthfill_Embankment ,10,1264,0,3120000,236000,2925000,I,206
96,95,AP01LH0097,Jajigedda Reservoir,Andhra Pradesh Water Resources Department,"17° 40 ' 8""","82° 45 ' 7""",1998,East Flowing Rivers between Mahanadi and Godavari,Jajigedda,Narsipatnam,II,Earthfill_Embankment ,14.81,688,0,2293000,310000,2265600,I,6230
97,96,AP01LH0098,Kampasamudram New Tank,Andhra Pradesh Water Resources Department,"14° 47 ' 23""","79° 14 ' 54""",,Pennar,Pennar,udayagin,II,Earthfill_Embankment ,11.2,1830,0,216300000,,2163000,I,208.82
98,97,AP01LH0099,Koduru Reservoir,Andhra Pradesh Water Resources Department,"13° 51 ' 53""","77° 43 ' 34""",,Pennar,Khushavathi,Guntakal,II,Earthfill_Embankment ,10,796,0,1901000,1170000,1464000,I,21.24
99,98,AP01MH0100,Kushavathi Reservoir,Andhra Pradesh Water Resources Department,"13° 58 ' 40""","78° 31 ' 40""",,Pennar,Khushavathi,Rayachoti,II,Other,17.47,1030,0,2900000,77280000,2500000,I,739
100,99,AP01LH0101,M.V. Reservoir,Andhra Pradesh Water Resources Department,"15° 58 ' 8""","79° 11 ' 15""",,East flowing rivers between Krishna and Pennar,pennar,S.R.Pur,II,Earthfill_Embankment ,13.4,721,0,1040000,,1040000,I,679.6
101,100,AP01LH0102,Madakasira,Andhra Pradesh Water Resources Department,"13° 55 ' 39""","77° 14 ' 47""",,Pennar,Ghataprabha,Madakasira,II,Earthfill_Embankment ,12,686,0,3972000,933000,3056000,I,83
102,101,AP01LH0103,Muthyalacheruvu,Andhra Pradesh Water Resources Department,"14° 5 ' 58""","78° 4 ' 59""",,Pennar,ghatprabha,Dharmavaram,II,Earthfill_Embankment ,11,838,0,2847000,1172000,2190000,I,297.44
103,102,AP01LH0104,Panthulu cheruvu,Andhra Pradesh Water Resources Department,"14° 2 ' 23""","78° 8 ' 46""",,Pennar,Madduleru,Kadiri,II,Earthfill_Embankment ,12,923,0,6790000,2300000,5230000,I,140
104,103,AP01LH0105,"Pattikondavanka, Guttava",Andhra Pradesh Water Resources Department,"13° 28 ' 36""","79° 50 ' 23""",,East flowing rivers between Pennar and Cauvery Basin,Ghataprabha,Chittoor,II,Earthfill_Embankment ,12.48,580,0,547000,,346000,I,59
105,104,AP01LH0106,Paya Cheruvu,Andhra Pradesh Water Resources Department,"13° 26 ' 30""","78° 26 ' 59""",,Pennar,Ghataprabha,punganuru,II,Earthfill_Embankment ,14,200,,1557410,221500,1557000,I,
106,105,AP01LH0107,"Peddabadava, Tulasikrishan",Andhra Pradesh Water Resources Department,"13° 28 ' 8""","79° 44 ' 35""",,East flowing rivers between Pennar and Cauvery Basin,Peddabadava,Srikalahasti,III,Earthfill_Embankment ,10.74,571,118000,516000,176840,452000,I,31
107,106,AP01LH0108,Pedda Rayala Cheruvu,Andhra Pradesh Water Resources Department,"13° 20 ' 12""","78° 43 ' 27""",,Krishna,Cheruvu,punganuru,II,Earthfill_Embankment ,12,800,,1136910,621500,1136900,I,
108,107,AP01MH0109,Pedda Tippa Samudram Tank,Andhra Pradesh Water Resources Department,"13° 42 ' 6""","78° 12 ' 10""",,Pennar,Ghataprabha,Madanapalle,II,Earthfill_Embankment ,15.39,1550,0,7079000,5406000,6969000,I,474
